id,ean,status,is_bulk,packaging,published,share_url,display_name,is_variable_weight,details_brand,details_origin,details_counter_info,details_danger_mentions,details_alcohol_by_volume,details_mandatory_mentions,details_production_variant,details_usage_instructions,details_storage_instructions,price_iva,price_is_new,price_is_pack,price_pack_size,price_unit_name,price_unit_size,price_bulk_price,price_unit_price,price_approx_size,price_size_format,price_total_units,price_unit_selector,price_bunch_selector,price_drained_weight,price_selling_method,price_reference_price,price_min_bunch_amount,price_reference_format,allergens,ingredients,level_0_cat_id,level_0_cat_name,level_0_cat_order,level_1_cat_id,level_1_cat_name,level_1_cat_order,level_2_cat_id,level_2_cat_name,level_2_cat_order,img_0_url,img_0_perspective,img_1_url,img_1_perspective,img_2_url,img_2_perspective,img_3_url,img_3_perspective,img_4_url,img_4_perspective,img_5_url,img_5_perspective,img_6_url,img_6_perspective,img_0_nutri_info_file,img_1_nutri_info_file,img_2_nutri_info_file,img_3_nutri_info_file,img_4_nutri_info_file,img_5_nutri_info_file,img_6_nutri_info_file,valor_energético,grasas,grasas_saturadas,carbohidratos,azúcares,proteinas,sal
1393,2105100013931,,True,Bandeja,True,https://tienda.mercadona.es/product/1393/botifarron-carne-bandeja,Botifarrón de carne,True,,,,,,Envasado en atmósfera protectora.,,"Cocinar completamente, a fuego lento, antes de su consumo. Para plancha, freír, barbacoa.....",Conservar de 0º a 4ºC.,10.0,False,False,,,0.35,7.5,2.62,True,kg,,True,False,,0,7.5,1.0,kg, <strong>x99</strong>.,"<p>Sangre de cerdo, tocino, corteza de cerdo, harina de arroz, sal, fécula de maíz, especias, antioxidante E-331iii, potenciador del sabor E-621. Tripa natural. Sin Lactosa, Sin gluten.",3,Carne,17,43,Embutido,17,286,Embutido,17,https://prod-mercadona.imgix.net/images/6a1c6347f95614106a4f88f1e1ebaa45.jpg?fit=crop&h=1600&w=1600,1,https://prod-mercadona.imgix.net/images/1bb68e18859016987f3afd0cc29c545f.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,1393_img_1.jpg,,,,,,400.0,32.0,13.0,4.0,0.5,13.0,1.9
1564,2105100015645,,True,Bandeja,True,https://tienda.mercadona.es/product/1564/costilla-cerdo-iberico-adobada-bandeja,Costilla de cerdo ibérico adobada,True,,España,,,,Sin gluten - Certificado por Calicer nº PI/0517/12,Producto de peso variable: el contenido neto podrá oscilar entre 550 y 780 GR,Cocinar completamente antes de su consumo,Una vez abierto conservar en el frigorífico y consumir antes de 48 horas. Conservese refrigerado entre 0°C y 5°C.,10.0,False,False,,,0.5,7.55,3.78,True,kg,,True,False,,0,7.55,1.0,kg,Contiene <strong>leche y sus derivados (incluida la lactosa)</strong>.,"Costilla de cerdo ibérico, sal, especias, antioxidante (E-301, E-325), dextrosa, <strong>lactosa</strong>, conservador (E-250).",3,Carne,17,45,Empanados y elaborados,17,288,Empanados y elaborados,17,https://prod-mercadona.imgix.net/images/af452ee749d0981858f5bfd393dccf15.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/c2ad0410c0bbfd35f91e91fe25179a08.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,1564_img_1.jpg,,,,,,320.0,29.0,11.0,0.5,0.5,15.0,1.3
1892,2105100018929,,True,Bandeja,True,https://tienda.mercadona.es/product/1892/hueso-blanco-cerdo-salado-bandeja,Hueso blanco de cerdo salado,True,,,,,,,,Desalar en agua al menos durante 2 horas antes de su cocinado completo.,El producto se mantendrá en lugar fresco y seco. Recomendado entre 0ºC y 15ºC.,,False,False,,,0.35,5.4,1.89,True,kg,,True,False,,0,5.4,1.0,kg, <strong>x99</strong>.,Hueso de cerdo y sal,3,Carne,17,46,Arreglos,17,289,Arreglos,17,https://prod-mercadona.imgix.net/images/46bb50089c37c14846fe7a028118eb1b.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/a25c44ddc67d9de1e0a56dccfce9d6e3.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,1892_img_1.jpg,,,,,,90.0,6.4,2.3,1.2,0.3,6.2,0.6
2137,8411396000734,,False,Bandeja,True,https://tienda.mercadona.es/product/2137/flautas-pollo-queso-bandeja,Flautas de pollo y queso,False,,,,,,Envasado en atmósfera protectora,,,Refrigerado: 0º a 4 º,10.0,False,False,,,0.28,8.06,2.2,False,kg,,True,False,,0,8.059,1.0,kg,Puede contener <strong>soja y productos a base de soja</strong>. Puede contener <strong>mostaza y productos derivados</strong>. Contiene <strong>leche y sus derivados (incluida la lactosa)</strong>. Contiene <strong>cereales que contengan gluten</strong>.,"TORTILLADE TRIGO 57%: Harina de<strong> trigo (38%)</strong>, agua, grasa de palma,estabilizante (E 422), sal, gasificantes (E 450i, E 500ii), emulgente (E 471),gluten de <strong>trigo</strong>, agente de tratamiento de la harina (E 920). PECHUGADE POLLO COCIDA 29%: pechuga de pollo (19.3%), agua, sal, estabilizantes(E451i, E407), dextrosa, aromas, antioxidantes (E331, E316), conservador(E250). <strong>QUESO</strong> FUNDIDO 14%: <strong>Queso</strong> pasteurizado, <strong> </strong>almidón modificado, agua, lactosuero <strong>(leche)</strong>, proteínas de la <strong>leche</strong>, sal y conservador (E-202). Almidón modificado (E-1442). <strong>Puede contener trazas soja y mostaza</strong>",3,Carne,17,45,Empanados y elaborados,17,288,Empanados y elaborados,17,https://prod-mercadona.imgix.net/images/ff939fd89452f154ae624d1c063f5300.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/b3089967c6ed4be2799c074a711cf278.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2137_img_1.jpg,,,,,,274.0,10.9,5.7,28.7,0.6,15.2,1.5
2169,8411396000772,,False,Bandeja,True,https://tienda.mercadona.es/product/2169/flautas-bacon-queso-bandeja,Flautas de bacón y queso,False,,,,,,Envasado en atmósfera protectora. Cocinar completamente antes de su consumo,,,Refrigerado: 0º a 4º,10.0,False,False,,,0.28,7.97,2.2,False,kg,,True,False,,0,7.972,1.0,kg,Puede contener <strong>soja y productos a base de soja</strong>. Puede contener <strong>mostaza y productos derivados</strong>. Contiene <strong>leche y sus derivados (incluida la lactosa)</strong>. Contiene <strong>cereales que contengan gluten</strong>.,"TORTILLADE TRIGO 57%: Harina de<strong> trigo (38%)</strong>, agua, grasa de palma,estabilizante (E 422), sal, gasificantes (E 450i, E 500ii), emulgente (E 471),gluten de <strong>trigo</strong>, agente de tratamiento de la harina (E 920). <strong>QUESO</strong> FUNDIDO 22%: <strong>Queso , </strong>agua, almidón modificado<strong>, nata , </strong>proteínas de la<strong>leche, lactosuero , </strong>estabilizante(E-331), sal, conservador (E-202)y colorante (E-160a y E160b)BACON 21%: Carne de cerdo, agua,sal, azúcar, estabilizante (E-451i), antioxidante (E-316), conservador (E-250)y aroma humo. Almidón modificado (E-1442). <strong>Puede contenertrazas soja y mostaza</strong>",3,Carne,17,45,Empanados y elaborados,17,288,Empanados y elaborados,17,https://prod-mercadona.imgix.net/images/36a71af2529a876185b3b8661cdfc20b.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/89f27f1d2f65c89a3a19b56c94181dc3.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2169_img_1.jpg,,,,,,315.0,15.8,8.5,30.6,0.5,12.5,1.8
2179,8411713111068,,False,Paquete,True,https://tienda.mercadona.es/product/2179/callos-preparados-ternera-rogusa-paquete,Callos preparados de ternera Rogusa,False,Rogusa,,,,,Sin gluten. Consumir tras un cocinado completo.,,"Vaciar el contenido en un recipiente y calentar a fuego lento hasta ebullición, o bien en microondas aprox. 4 minutos a máxima potencia para una ración de 250 a 300 g.",Conservese de 0C a +4C,10.0,False,False,,,0.5,7.5,3.75,False,kg,,True,False,,0,7.5,1.0,kg, <strong>x99</strong>.,"<p>Callos, pata y morro de vacuno (48%) (origen U.E. y no U.E.), chorizo 7 %  (carne de cerdo, grasa de cerdo, sal, pimentón, dextrosa, ajo, especias y tripa de colágeno), gelatina (corteza de cerdo), jamón 1% y salsa: agua, tomate, sal,  aceite de oliva 0,7%, almidón de maíz, cebolla, especias, pimentón,  conservadores E-202, E-250, y antioxidante E-301.",3,Carne,17,45,Empanados y elaborados,17,288,Empanados y elaborados,17,https://prod-mercadona.imgix.net/images/e43ddf8d8525da176a7ceb8cff174a5b.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/09321bbba309112f95dd1a3c0e107f07.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2179_img_1.jpg,,,,,,,,,,,,
2185,8411713212185,,False,Paquete,True,https://tienda.mercadona.es/product/2185/oreja-cerdo-cocida-adobada-rogusa-paquete,Oreja de cerdo cocida adobada Rogusa,False,Rogusa,,,,,Sin gluten Consumir tras un cocinado completo.,,"En una sarten o en la plancha, se añade un un poco de aceite, la oreja, ajo picado y perejil y se va removiendo hasta que esté cocinado.",Conservese de 0C a +4C,10.0,False,False,,,0.5,8.5,4.25,False,kg,,True,False,,0,8.5,1.0,kg, <strong>x99</strong>.,"<p>Oreja de cerdo 98% (origen U.E.), sal, corrector de la acidez E-331iii, conservador E-250 y adobo (agua, pimentón, correctores de la acidez E-270 y E-526 y colorante E-120).",3,Carne,17,45,Empanados y elaborados,17,288,Empanados y elaborados,17,https://prod-mercadona.imgix.net/images/7a942f2943ba5d1a5208f32c4829aab0.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/d58468c4b5bcfdc859d5a90cf654298d.jpg?fit=crop&h=1600&w=1600,4.0,,,,,,,,,,,,,,,,,,,,,,,,
2228,2105100022285,,True,Paquete,True,https://tienda.mercadona.es/product/2228/solomillo-cerdo-marinado-congelado-paquete,Solomillo de cerdo marinado congelado,True,,,,,,,,"Sacar del envase. Sin descongelar, cocinar el solomillo en el horno precalentado a 160ºC durante 90 minutos girando la pieza a la mitad.","Conservar a -18C. En caso de descongelar, no volver a congelar y consumir en 24h. Cocinar completamente antes de su consumo.",10.0,False,False,,,0.8,7.8,6.24,True,kg,,True,False,,0,7.8,1.0,kg,Libre de <strong>cereales que contengan gluten</strong>. Libre de <strong>ml</strong>.,"Solomillo de cerdo (71,4 %), agua, sal, extracto de levadura, maltodextrina, proteína de cerdo, fibra vegetal, antioxidantes (E-331, E-301), estabilizante (E-407).",17,Congelados,213,148,Carne,213,511,Carne,213,https://prod-mercadona.imgix.net/images/72c56d09663789656e07eb71e457b3fe.jpg?fit=crop&h=1600&w=1600,2,https://prod-mercadona.imgix.net/images/36f2272d86642ce0509ade1660af6611.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2228_img_1.jpg,,,,,,94.0,3.5,1.5,0.5,0.5,16.0,1.1
2622,8436021411211,,False,Bandeja,True,https://tienda.mercadona.es/product/2622/burger-pollo-bandeja,Burger de pollo,False,,,,,,Sin gluten. Sin lactosa. Envasado en atmósfera protectora.,,Cocinar completamente antes de su consumo.,Conservar en refrigeración entre 0 y 4C. Una vez abierto consumir antes de 48 horas,,False,False,,ud.,0.54,7.31,3.95,False,kg,6.0,True,False,,0,7.315,1.0,kg,Contiene <strong>dióxido de azufre y sulfitos</strong>.,"Carne de pollo 90%, agua, vegetales (arroz), fibra vegetal, especias, aromas, sal, antioxidantes (E-301, E-331), conservador (E-221) (<strong>sulfito</strong>), colorante (E-120). Contiene trazas de <strong>soja y pavo.</strong>",3,Carne,17,44,Hamburguesas y picadas,17,287,Hamburguesas,17,https://prod-mercadona.imgix.net/images/2186a0fa319da72a9ed39cbc127624a6.jpg?fit=crop&h=1600&w=1600,1,https://prod-mercadona.imgix.net/images/718a644b33a3514051f2318ab809dcec.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2622_img_1.jpg,,,,,,123.0,5.8,1.7,1.6,0.0,16.0,1.3
2632,8422930950071,,False,Bandeja,True,https://tienda.mercadona.es/product/2632/carpaccio-vacuno-bandeja,Carpaccio de vacuno,False,,,,,,Envasado en atmósfera protectora.,,Se recomienda atemperar el producto fuera de su frigorífico unos minutos antes de su consumo para separar las finas láminas de carne marinada. Agregar aceite al gusto.,Conservar de 0 a 4C.,10.0,False,False,,,0.11,37.27,4.1,False,kg,,True,False,,0,37.273,1.0,kg,Contiene <strong>leche y sus derivados (incluida la lactosa)</strong>.,"Producto cárnico marinado. Ingredientes: carne de vacuno (92%), agua (4%), sal, dextrosa, antioxidantes (E-301, E-331), estabilizante (E-407)  y conservadores (E-250, E-252, E-325 y E-262(i)). Queso parmigiano reggiano. Ingredientes: <strong>leche</strong>, sal y cuajo.",3,Carne,17,40,Vacuno,17,283,Vacuno,17,https://prod-mercadona.imgix.net/images/6f939ea547a9a0b2196b70955666a858.jpg?fit=crop&h=1600&w=1600,1,https://prod-mercadona.imgix.net/images/baaca712fb6ea1078afa60063293e6fd.jpg?fit=crop&h=1600&w=1600,9.0,,,,,,,,,,,,2632_img_1.jpg,,,,,,108.0,2.0,1.0,2.2,0.8,20.0,2.8
